date,mean_si,sd_si,lower_mean_si,upper_mean_si,mean_r,lower_mean_r,upper_mean_r,mean_ro,lower_mean_ro,upper_mean_ro,case,number,date1,code,mean_peak,lower_peak,upper_peak
0,NA,NA,NA,NA,NA,NA,NA,,,,1,2,5/18/2021,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,,,,0,3,5/19/2021,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,,,,0,4,5/20/2021,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,,,,0,5,5/21/2021,NA,NA,NA,NA
4,6.673655,3.713879,4.948241,9.323462,NA,NA,NA,4.868714,3.533165,7.680242,2,6,5/22/2021,1,0.01,-0.72,0.71
5,6.673655,3.713879,4.948241,9.323462,5.92921,1.61551,12.99575,4.868714,3.533165,7.680242,0,7,5/23/2021,1,0.01,-0.72,0.71
6,6.309494,3.385507,4.942953,8.097151,7.229302,2.906555,13.48727,4.781093,3.621567,6.68211,4,8,5/24/2021,2,-0.06,-0.75,0.55
7,6.174547,3.125175,5.290194,7.219087,9.727661,5.17957,15.68517,4.898378,3.944101,6.307226,6,9,5/25/2021,3,0.07,-0.28,0.38
8,6.153668,3.098669,5.274578,7.159189,7.160963,3.914965,11.37079,4.904548,4.038705,6.163248,1,10,5/26/2021,4,0.05,-0.31,0.38
9,5.291592,3.472414,4.428254,6.205046,4.847007,3.072586,7.019364,3.246948,2.411916,4.513058,9,11,5/27/2021,5,-0.8,-1.27,-0.3403
10,5.418507,3.520556,4.583145,6.319622,4.594869,3.12199,6.347865,3.329288,2.520894,4.531979,10,12,5/28/2021,6,-0.7612799,-1.2397,-0.3
11,5.25188,3.481197,4.43565,6.123839,4.006683,2.887665,5.306101,3.229737,2.50181,4.297433,11,13,5/29/2021,7,-0.7783369,-1.2297,-0.35
12,4.945773,3.583137,4.136606,5.799379,2.968695,2.203423,3.846277,2.825439,2.089444,3.662192,12,14,5/30/2021,8,-0.8163561,-1.2497,-0.4103
13,4.902354,3.586561,4.093781,5.744048,2.41128,1.821455,3.082566,2.787053,2.103605,3.573059,12,15,5/31/2021,9,-0.8381631,-1.24,-0.42
14,4.702706,3.744601,3.889863,5.546988,2.131371,1.651783,2.671155,2.37327,1.653219,3.388381,12,16,06/01/2021,10,-0.9509184,-1.41,-0.53
15,4.5875,3.688704,3.801928,5.398822,1.736098,1.348148,2.17236,2.368699,1.679682,3.281419,10,17,06/02/2021,11,-0.9868751,-1.3897,-0.5303
16,4.201782,3.972199,3.383797,5.062831,1.451521,1.13365,1.80808,1.777137,1.306904,2.807426,13,18,06/03/2021,12,-1.066195,-1.49,-0.65
17,4.201782,3.972199,3.383797,5.062831,1.225197,0.947567,1.537953,1.777137,1.306904,2.807426,6,19,06/04/2021,12,-1.066195,-1.49,-0.65
18,4.201782,3.972199,3.383797,5.062831,1.132027,0.871799,1.425724,1.777137,1.306904,2.807426,10,20,06/05/2021,12,-1.066195,-1.49,-0.65
19,4.201782,3.972199,3.383797,5.062831,0.9701797,0.7328633,1.240272,1.777137,1.306904,2.807426,4,21,06/06/2021,12,-1.066195,-1.49,-0.65
20,4.133654,3.961548,3.338319,4.973816,0.984403,0.7436075,1.258455,1.763476,1.241795,2.736771,12,22,06/07/2021,13,-1.091237,-1.53,-0.68
21,4.144589,3.940855,3.352687,4.977546,0.9471115,0.7094515,1.218577,1.776358,1.299239,2.771946,7,23,06/08/2021,14,-1.056441,-1.47,-0.62
22,4.054446,4.00587,3.262332,4.89288,0.8241289,0.6011253,1.081769,1.673963,1.210976,2.443434,5,24,06/09/2021,15,-0.9759725,-1.43,-0.56
23,4.029449,3.992959,3.237102,4.86564,0.8713305,0.6355545,1.143727,1.676367,1.213677,2.467364,6,25,06/10/2021,16,-1.266595,-1.8240607,-0.7612947
24,4.029449,3.992959,3.237102,4.86564,0.7496014,0.5277885,1.009717,1.676367,1.213677,2.467364,2,26,06/11/2021,16,-1.266595,-1.8240607,-0.7612947
25,4.029449,3.992959,3.237102,4.86564,0.7840018,0.5491052,1.060069,1.676367,1.213677,2.467364,3,27,06/12/2021,16,-1.266595,-1.8240607,-0.7612947
26,4.029449,3.992959,3.237102,4.86564,0.6057935,0.3957244,0.8598756,1.676367,1.213677,2.467364,2,28,6/13/2021,16,-1.266595,-1.8240607,-0.7612947
27,4.029449,3.992959,3.237102,4.86564,0.4952817,0.298192,0.7415609,1.676367,1.213677,2.467364,0,29,6/14/2021,16,-1.266595,-1.8240607,-0.7612947
28,4.029449,3.992959,3.237102,4.86564,0.4861189,0.2778589,0.751668,1.676367,1.213677,2.467364,2,30,6/15/2021,16,-1.266595,-1.8240607,-0.7612947
29,4.029449,3.992959,3.237102,4.86564,0.4246998,0.2194486,0.6965798,1.676367,1.213677,2.467364,2,31,6/16/2021,16,-1.266595,-1.8240607,-0.7612947
30,4.029449,3.992959,3.237102,4.86564,0.4587349,0.2289988,0.7669362,1.676367,1.213677,2.467364,1,32,6/17/2021,16,-1.266595,-1.8240607,-0.7612947
31,4.029449,3.992959,3.237102,4.86564,0.4860933,0.2331006,0.8304809,1.676367,1.213677,2.467364,2,33,6/18/2021,16,-1.266595,-1.8240607,-0.7612947
